2023-06-29 23:22:47,645 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-29 23:22:47,653 INFO       server connection established
2023-06-29 23:22:47,653 DEBUG      generated message 'presence' for user user_1
2023-06-29 23:22:47,654 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 32776), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688070167.653288, 'user': {'account_name': 'user_1'}}), {} from the function init_socket
2023-06-29 23:22:48,155 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 32776), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-29 23:27:26,422 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-29 23:27:26,579 INFO       server connection established
2023-06-29 23:27:26,580 DEBUG      generated message 'presence' for user ,;m
2023-06-29 23:27:26,581 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51036), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688070446.579984, 'user': {'account_name': ',;m'}}), {} from the function init_socket
2023-06-29 23:27:26,594 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51036), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-29 23:59:14,865 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-29 23:59:14,881 INFO       server connection established
2023-06-29 23:59:14,882 DEBUG      generated message 'presence' for user klj
2023-06-29 23:59:14,883 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56432), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688072354.8823647, 'user': {'account_name': 'klj'}}), {} from the function init_socket
2023-06-29 23:59:15,381 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56432), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:01:56,898 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:01:56,899 INFO       server connection established
2023-06-30 00:01:56,900 DEBUG      generated message 'presence' for user dnf
2023-06-30 00:01:56,901 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43956), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688072516.900176, 'user': {'account_name': 'dnf'}}), {} from the function init_socket
2023-06-30 00:01:57,404 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43956), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:05:35,351 DEBUG      A function arg_parser was called with parameters (), {} from the function main
