2023-07-03 17:06:53,470 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:06:53,728 INFO       trying to start socket from on the server
2023-07-03 17:06:53,741 INFO       server socket waiting for connection on 7777 port with ip address: .If ip_address is not soecified, server waiting for connection on 7777 from any ip address
2023-07-03 17:07:32,346 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:07:32,404 INFO       trying to start socket from on the server
2023-07-03 17:07:32,407 INFO       server socket waiting for connection on 7777 port with ip address: .If ip_address is not soecified, server waiting for connection on 7777 from any ip address
2023-07-03 17:09:32,132 INFO       connection server with ('127.0.0.1', 34574)
2023-07-03 17:09:32,638 DEBUG      A function get_msg was called with parameters (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 34574)>,), {} from the function run
2023-07-03 17:09:32,639 DEBUG      parsig message from client {'action': 'presence', 'time': 1688393372.13297, 'user': {'account_name': 'alexandr'}}
2023-07-03 17:09:32,648 INFO       client ('127.0.0.1', 34574) disconnected from the server
2023-07-03 17:10:56,152 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:10:56,292 INFO       trying to start socket from on the server
2023-07-03 17:11:13,294 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:11:13,392 INFO       trying to start socket from on the server
2023-07-03 17:11:44,155 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:11:44,210 INFO       trying to start socket from on the server
2023-07-03 17:11:44,213 INFO       server socket waiting for connection on 7777 port with ip address: .If ip_address is not soecified, server waiting for connection on 7777 from any ip address
2023-07-03 17:12:03,582 INFO       connection server with ('127.0.0.1', 52660)
2023-07-03 17:12:04,085 DEBUG      A function get_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52660)>,), {} from the function run
2023-07-03 17:12:04,086 DEBUG      parsig message from client {'action': 'presence', 'time': 1688393523.58371, 'user': {'account_name': 'user_10'}}
2023-07-03 17:12:04,135 DEBUG      A function send_msg was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52660)>, {'response': 200}), {} from the function handler_client_msg
